full_name,body_anonymized,clarity_score
xingchuanzhen/wpf-music_player,"
**Is your feature request related to a problem? Please describe.**
A clear and concise description of what the problem is. Ex. I'm always frustrated when [...]

**Describe the solution you'd like**
A clear and concise description of what you want to happen.

**Describe alternatives you've considered**
A clear and concise description of any alternative solutions or features you've considered.

**Additional context**
Add any other context or screenshots about the feature request here.
",1.0
leafwing-studios/leafwing_input_playback,"
## Which code could be improved?

Provide a direct link to the source if possible.

Mention other related code if relevant.

## How should this be changed?

If it's not obvious, include a snippet and explain why this change is better.
",1.0
bacco007/homeassistantconfig,"
**Describe the bug**
A clear and concise description of what the bug is.

**To Reproduce**
Steps to reproduce the behavior:
1. Go to '...'
2. Click on '....'
3. Scroll down to '....'
4. See error

**Expected behavior**
A clear and concise description of what you expected to happen.

**Screenshots**
If applicable, add screenshots to help explain your problem.

**Desktop (please complete the following information):**
- OS: [e.g. iOS]
- Browser [e.g. chrome, safari]
- Version [e.g. 22]

**Smartphone (please complete the following information):**
- Device: [e.g. iPhone6]
- OS: [e.g. iOS8.1]
- Browser [e.g. stock browser, safari]
- Version [e.g. 22]

**Additional context**
Add any other context about the problem here.
",1.0
antvis/l7draw,"
### 🐛 Question description [Please make everyone to understand it]

### 💻 Link to minimal reproduction

Please provide a link by forking these links [L7 Draw](<|URL|>) or GitHub repo. What is a minimal reproduction, and why is it required?

### 🏞 Expected result

### 🚑 Any additional [like screenshots]

- **<|Repo_Name|> Version**:
- **Platform**:
",2.0
jakemakesstuff/dcustomrpc,"
**Is your feature request related to a problem? Please describe.**
A clear and concise description of what the problem is. Ex. I'm always frustrated when [...]

**Describe the solution you'd like**
A clear and concise description of what you want to happen.

**Describe alternatives you've considered**
A clear and concise description of any alternative solutions or features you've considered.

**Additional context**
Add any other context or screenshots about the feature request here.
",1.0
hm-seclab/yafra,"
**Is your feature request related to a problem? Please describe.**
A clear and concise description of what the problem is. Ex. I'm always frustrated when [...]

**Describe the solution you'd like**
A clear and concise description of what you want to happen.

**Describe alternatives you've considered**
A clear and concise description of any alternative solutions or features you've considered.

**Additional context**
Add any other context or screenshots about the feature request here.
",1.0
accenture/trac,"
## Bug Report

### Steps to Reproduce:
1. ...step 1 description...
2. ...step 2 description...
3. ...step 3 description...

### Expected Result:
...description of what you expected to see...

### Actual Result:
...what actually happened, including full exceptions (please include the entire stack <|Repo_Name|>e, including ""caused by"" entries), log entries, screen shots etc. where appropriate...

### Environment:
...version and build of the project, OS and runtime versions, virtualised environment (if any), etc. ...

### Additional Context:
...add any other context about the problem here. If applicable, add screenshots to help explain...
",1.0
diem/move,"
# 🐛 Bug

<!-- A clear and concise description of your issue with the documentation or website.
To report a security issue, please email <|Email|> -->

## Steps to reproduce

<!-- Please include all steps to reproduce the issue -->

** Error message or problem **
```
<|Code|>
```

## Expected Behavior

<!-- A clear and concise description of what you expected to happen. -->

## System information

**Please complete the following information:**
- <!-- Browser type and version -->

## Additional context

<!-- Add any other context about the problem here. -->
",1.0
cunla/ghactions-manager,"
**Is your feature request related to a problem? Please describe.**
A clear and concise description of what the problem is. Ex. I'm always frustrated when [...]

**Describe the solution you'd like**
A clear and concise description of what you want to happen.

**Describe alternatives you've considered**
A clear and concise description of any alternative solutions or features you've considered.

**Additional context**
Add any other context or screenshots about the feature request here.
",1.0
oroinc/orocommerce,"
We primarily use GitHub Issues to report bugs and new features in Oro applications.
For questions on how to use Oro applications or extensions, please use any of the support
channels below:
- StackOverflow: <|URL|>
- Slack Community Chat: <|URL|>

For more details, see <|URL|>

Thank you!
",1.0
aresprotocols/ares,"
**Question**

_Please include information such as the following: is your question to clarify an existing resource
or are you asking about something new? what are you trying to accomplish? where have you looked for
answers?_
",1.0
wildgums/orc.search,"
Leave Your Message Below (don't delete this line though)
",1.0
wx-chevalier/ueme-chat,"

",1.0
